0,CombatZoneResize,239,226,404,391,TLResume,,,
0,MUL,RndSpeed,$RndSpeed,-1,,,,,
0,ADD,SpeedR,6,$RndSpeed,,,,,
0,MUL,XR,$X,$SpeedR,,,,,
0,ADD,XR,320,$XR,,,,,
0,MUL,SpeedR,$SpeedR,30,,,,,
0,BoneV,$XL,282,$HeightT,0,$SpeedL,,,
0,BoneV,$XL,$YB,$HeightB,0,$SpeedL,,,
0,BoneV,$XR,282,$HeightT,2,$SpeedR,,,
0,BoneV,$XR,$YB,$HeightB,2,$SpeedR,,,
0.075,BoneV,$XL,282,$HeightT,0,$SpeedL,,,
0,BoneV,$XL,$YB,$HeightB,0,$SpeedL,,,
0,BoneV,$XR,282,$HeightT,2,$SpeedR,,,
0,BoneV,$XR,$YB,$HeightB,2,$SpeedR,,,
0,MUL,TotalInc,$Choice,5,,,,,
0,ADD,Total,$Total,$TotalInc,,,,,
0,ADD,Loop2,$Loop2,1,,,,,
0,JMPL,Attack2Begin,$Loop2,8,,,,,
7.5,JMPABS,RndAttack,,,,,,,
0,:Attack3,,,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,,
0,HeartMode,1,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack3Other,$Side,,,,,,
0,HeartTeleport,320,376,,,,,,
0,SansX,323,,,,,,,
0,BoneVRepeat,170,282,70,0,215,20,135,
0,BoneVRepeat,170,371,15,0,215,20,135,
0,BoneVRepeat,470,282,70,2,215,20,135,
0,BoneVRepeat,470,371,15,2,215,20,135,
0.065,BoneVRepeat,170,282,70,0,215,20,135,
0,BoneVRepeat,170,371,15,0,215,20,135,
0,BoneVRepeat,470,282,70,2,215,20,135,
0,BoneVRepeat,470,371,15,2,215,20,135,
0.065,BoneVRepeat,170,282,70,0,215,20,135,
0,BoneVRepeat,170,371,15,0,215,20,135,
0,BoneVRepeat,470,282,70,2,215,20,135,
0,BoneVRepeat,470,371,15,2,215,20,135,
6,JMPABS,RndAttack,,,,,,,
0,:Attack3Other,,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,SansX,323,,,,,,,
0,SET,L,25,,,,,,
0,SET,A,0,,,,,,
0,ADD,A,$A,45,,,,,
0,SIN,F,$A,,,,,,
0,MUL,F,0.08,$F,,,,,
0,ADD,T,0.5,$F,,,,,
0,SUB,L,$L,1,,,,,
$T,BoneV,158,256,105,0,230,,,
0,BoneV,158,376,10,0,230,,,
0,BoneV,478,256,105,2,230,,,
0,BoneV,478,376,10,2,230,,,
0,JMPNZ,129,$L,,,,,,
1,JMPABS,RndAttack,,,,,,,
0,:Attack4,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack4Other,$Side,,,,,,
0,HeartTeleport,149,376,,,,,,
0,SansX,223.1,,,,,,,
0,BoneVRepeat,440,331,55,2,375,16,24,
0.3,BoneVRepeat,704,371,15,2,375,30,24,
1.3,JMPABS,RndAttack,,,,,,,
0,:Attack4Other,,,,,,,,
0,HeartTeleport,506,376,,,,,,
0,SansX,511.1,,,,,,,
0,BoneVRepeat,200,331,55,0,375,16,24,
0.3,BoneVRepeat,-64,371,15,0,375,30,24,
1.3,JMPABS,RndAttack,,,,,,,
0,:Attack5,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,304,,,,,,
0,SansX,323,,,,,,,
0,Platform,299,314,61,0,0,,,
0,Platform,299,354,61,0,0,,,
0,BoneVRepeat,121,364,30,2,0,50,13,
0,RND,Side,2,,,,,,
0,JMPZ,Attack5Other,$Side,,,,,,
0,SansX,323,,,,,,,
0,BoneVRepeat,521,280,35,2,240,5,13,
0,BoneVRepeat,1,319,65,0,240,5,13,
1,BoneVRepeat,521,280,35,2,240,5,13,
0,BoneVRepeat,1,319,65,0,240,5,13,
1,BoneVRepeat,521,280,35,2,240,5,13,
0,BoneVRepeat,1,319,65,0,240,5,13,
1,BoneVRepeat,521,280,35,2,240,5,13,
0,BoneVRepeat,1,319,65,0,240,5,13,
1.75,JMPABS,RndAttack,,,,,,,
0,SansX,323,,,,,,,
0,:Attack5Other,,,,,,,,
0,BoneVRepeat,119,280,35,0,240,5,13,
0,BoneVRepeat,639,319,65,2,240,5,13,
1,BoneVRepeat,119,280,35,0,240,5,13,
0,BoneVRepeat,639,319,65,2,240,5,13,
1,BoneVRepeat,119,280,35,0,240,5,13,
0,BoneVRepeat,639,319,65,2,240,5,13,
1,BoneVRepeat,119,280,35,0,240,5,13,
0,BoneVRepeat,639,319,65,2,240,5,13,
1.75,JMPABS,RndAttack,,,,,,,
0,:Attack6,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,RND,Rot,3,,,,,,
0,JMPZ,Attack6Other,$Rot,,,,,,
0,JMPZ,Attack6Other2,$Rot,,,,,,
0,GasterBlaster,2,191,306,191,306,0,0.6,0.26666
0,GasterBlaster,2,321,166,321,166,90,0.6,0.26666
0,GasterBlaster,2,449,306,449,306,180,0.6,0.26666
0,GasterBlaster,2,321,446,321,446,270,0.6,0.26666
0,SansX,501.5,,,,,,,
0.6,BoneStab,2,80,0,1,,,,
0,BoneStab,3,80,0,1,,,,
0.3,JMPABS,RndAttack,,,,,,,
0,:Attack6Other,,,,,,,,
0,GasterBlaster,2,191,176,191,176,45,0.6,0.26666
0,GasterBlaster,2,451,176,451,176,135,0.6,0.26666
0,GasterBlaster,2,451,436,451,436,225,0.6,0.26666
0,GasterBlaster,2,191,436,191,436,315,0.6,0.26666
0,SansX,163.5,,,,,,,
0.6,BoneStab,1,55,0,1,,,,
0,BoneStab,2,55,0,1,,,,
0,BoneStab,3,55,0,1,,,,
0.3,JMPABS,RndAttack,,,,,,,
0,:Attack6Other2,,,,,,,,
0,GasterBlaster,2,191,176,191,176,45,0.6,0.26666
0,GasterBlaster,2,451,176,451,176,135,0.6,0.26666
0,GasterBlaster,2,451,436,451,436,225,0.6,0.26666
0,GasterBlaster,2,191,436,191,436,315,0.6,0.26666
0,SansX,563.5,,,,,,,
0.6,BoneStab,1,55,0,1,,,,
0,BoneStab,2,55,0,1,,,,
0,BoneStab,3,55,0,1,,,,
0.3,JMPABS,RndAttack,,,,,,,
0,:Attack7,,,,,,,,
0,CombatZoneResizeInstant,179,226,404,391,,,,
0,HeartMode,0,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack7Other,$Side,,,,,,
0,HeartTeleport,382,304,,,,,,
0,SansX,133.5,,,,,,,
0.3,SineBones,72,-21,615,55,,,,
2.7,JMPABS,RndAttack,,,,,,,
0,:Attack7Other,,,,,,,,
0,HeartTeleport,267,304,,,,,,
0,SansX,463.5,,,,,,,
0.3,SineBones,72,21,615,55,,,,
2.7,JMPABS,RndAttack,,,,,,,
0,:Attack8,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack8Other,$Side,,,,,,
0,HeartTeleport,489,376,,,,,,
0,SansX,323.5,,,,,,,
0,BoneVRepeat,345,364,20,0,160,200,71,
0,BoneVRepeat,297,280,82,2,160,200,71,
6,JMPABS,RndAttack,,,,,,,
0,:Attack8Other,,,,,,,,
0,HeartTeleport,168,376,,,,,,
0,SansX,123.5,,,,,,,
0,BoneVRepeat,297,364,20,2,160,200,71,
0,BoneVRepeat,345,280,82,0,160,200,71,
6,JMPABS,RndAttack,,,,,,,
0,:End,,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,,
0,EndAttack,,,,,,,,
